period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023-08,SND,USA-ND,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SND_4,North Dakota Natural Gas % of Total Residential - Sales (%),100,%
2023-08,SMN,MINNESOTA,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SMN_4,Minnesota Natural Gas % of Total Residential - Sales (%),100,%
2023-08,SIL,USA-IL,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SIL_4,Illinois Natural Gas % of Total Residential - Sales (%),88,%
2023-08,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),60.3,%
2023-08,SNC,USA-NC,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020NC4,Percent of Commercial Natural Gas Deliveries in North Carolina Represented by the Price (%),81.7,%
2023-08,SND,USA-ND,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020ND4,Percent of Commercial Natural Gas Deliveries in North Dakota Represented by the Price (%),88.6,%
2023-08,SIL,USA-IL,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020IL4,Percent of Commercial Natural Gas Deliveries in Illinois Represented by the Price (%),20.9,%
2023-08,SUT,USA-UT,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020UT4,Percent of Commercial Natural Gas Deliveries in Utah Represented by the Price (%),47.6,%
2023-08,SNC,USA-NC,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035NC4,Percent of Industrial Natural Gas Deliveries in North Carolina Represented by the Price (%),13.3,%
2023-08,SAZ,USA-AZ,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035AZ4,Percent of Industrial Natural Gas Deliveries in Arizona Represented by the Price (%),21.1,%
2023-08,SMT,USA-MT,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035MT4,Percent of Industrial Natural Gas Deliveries in Montana Represented by the Price (%),1.1,%
2023-08,SIA,USA-IA,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035IA4,Percent of Industrial Natural Gas Deliveries in Iowa Represented by the Price (%),1.9,%
2023-08,SSC,USA-SC,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035SC4,Percent of Industrial Natural Gas Deliveries in South Carolina Represented by the Price (%),38.4,%
2023-08,SCA,CALIFORNIA,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035CA4,Percent of Industrial Natural Gas Deliveries in California Represented by the Price (%),3.6,%
2023-08,SNY,NEW YORK,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035NY4,Percent of Industrial Natural Gas Deliveries in New York Represented by the Price (%),3.4,%
2023-08,SOK,USA-OK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010OK3,Oklahoma Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),34.39,$/MCF
2023-08,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),31.22,$/MCF
2023-08,SAK,USA-AK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010AK3,Alaska Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.31,$/MCF
2023-08,SSC,USA-SC,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010SC3,South Carolina Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),26.57,$/MCF
2023-08,NUS-Z00,U.S.,EPG0,Natural Gas,PRP,Pipeline Imports Price,N9102US3,U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),2.52,$/MCF
2023-08,NUS-Z00,U.S.,EPG0,Natural Gas,PM0,Imports Price,N9100US3,Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),2.52,$/MCF
2023-08,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.46,$/MCF
2023-08,SNH,USA-NH,EPG0,Natural Gas,PIN,Industrial Price,N3035NH3,New Hampshire Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),15.59,$/MCF
2023-08,SVA,USA-VA,EPG0,Natural Gas,PIN,Industrial Price,N3035VA3,Virginia Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),3.82,$/MCF
2023-08,SCT,USA-CT,EPG0,Natural Gas,PIN,Industrial Price,N3035CT3,Connecticut Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),6.49,$/MCF
2023-08,SRI,USA-RI,EPG0,Natural Gas,PIN,Industrial Price,N3035RI3,Rhode Island Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),14.52,$/MCF
2023-08,SKY,USA-KY,EPG0,Natural Gas,PIN,Industrial Price,N3035KY3,Kentucky Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),3.61,$/MCF
